instruction_id,recipe_id,ingredient_name,measurement_qty,measurement_unit,createdAt,updatedAt
340,45,"sundried tomatoes not in oil, sliced","1/2","cup",1/1/23,1/1/23
341,45,"scallions, trimmed and cut into 2-inch pieces","4","whole",1/1/23,1/1/23
342,45,"shredded extra-sharp Cheddar, divided","2/3","cups",1/1/23,1/1/23
343,45,"eggs","4","whole",1/1/23,1/1/23
344,45,"egg whites","3","whole",1/1/23,1/1/23
345,45,"reduced-fat milk (2 percent)","3","cups",1/1/23,1/1/23
346,45,"Dijon mustard","1","tablespoons",1/1/23,1/1/23
347,45,"Kosher salt and freshly ground black pepper","1","pinch",1/1/23,1/1/23
348,46,"russet potatoes (2 1/4 pounds total) sliced into 1/8-inch thick rounds","3","whole",1/1/23,1/1/23
349,46,"olive oil","2","tablespoons",1/1/23,1/1/23
350,46,"coarsely ground black pepper","2","teaspoons",1/1/23,1/1/23
351,46,"Salt","1","pinch",1/1/23,1/1/23
352,46,"olive oil","2","teaspoons",1/1/23,1/1/23
353,46,"onion, minced","1","whole",1/1/23,1/1/23
354,46,"scallions, thinly sliced, greens and whites separated","2","whole",1/1/23,1/1/23
355,46,"cups nonfat Greek style yogurt or 1 2/3 cups regular nonfat plain yogurt","1 1/4","cups",1/1/23,1/1/23
356,46,"mayonnaise","1/4","cup",1/1/23,1/1/23
357,46,"onion powder","3/4","teaspoon",1/1/23,1/1/23
358,46,"garlic powder","3/4","teaspoon",1/1/23,1/1/23
359,46,"salt","1/2","teaspoon",1/1/23,1/1/23
360,46,"pepper","1/4","teaspoon",1/1/23,1/1/23
361,47,"olive oil","3","tablespoons",1/1/23,1/1/23
362,47,"small onion, diced","1","whole",1/1/23,1/1/23
363,47,"Kosher salt and freshly ground black pepper","1","pinch",1/1/23,1/1/23
364,47,"cloves garlic, minced","2","whole",1/1/23,1/1/23
365,47,"whole peeled tomatoes","28","ounce",1/1/23,1/1/23
366,47,"boxes frozen chopped spinach, defrosted","2, 10","ounce",1/1/23,1/1/23
367,47,"mozzarella, grated","1","lbs",1/1/23,1/1/23
368,47,"ricotta cheese","2","lbs",1/1/23,1/1/23
369,47,"grated Parmesan","1/2","cups",1/1/23,1/1/23
370,47,"grated nutmeg","1/4","teaspoons",1/1/23,1/1/23
371,47,"eggs, lightly beaten","2","whole",1/1/23,1/1/23
372,47,"Kosher salt and freshly ground black pepper","1","pinch",1/1/23,1/1/23
373,47,"sweet potatoes","3","whole",1/1/23,1/1/23
